carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W29-003,W29-P009,M04,2026-W29-003_M04_candidate_A.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_candidate_B.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_candidate_C.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_v2_candidate_A.png,Codex,5,5,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_v2_candidate_B.png,Codex,5,4,5,5,4,5,5,5,5,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_v2_candidate_C.png,Codex,5,5,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_A.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Hero session lock; natural M04 expression, grounded metal contact, integrated skylight and readable deconstructed tailoring. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_B.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Controlled motion derivative preserves blazer stitches, mesh, body build, gallery and lighting while varying gaze and bag gesture. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_C.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Detail derivative keeps M04 identity and exact asymmetric blazer, basting, mesh layers and metal reflected light. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_A_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,4,4,,5,no,needs_canva_frame_review,"Native 0.9185:1 full-body Hero derivative. Complete hair, blazer construction, bag, trousers and loafers remain inside the safe composition; exact normalization requires only 0.05% center crop."
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_B_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,5,,5,no,needs_canva_frame_review,"Native 2.0357:1 motion derivative. Complete hair, face, blazer stitching, mesh, bag and hand contact remain visible; exact normalization requires only 0.02% center crop."
2026-W29-003,W29-P009,M04,2026-W29-003_M04_photoreal_pilot_candidate_C_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,4,4,,5,no,needs_canva_frame_review,"Native 0.8741:1 outfit-detail derivative. Complete hair, deconstructed blazer, mesh layers, bag and both hands remain visible; exact normalization requires only 0.09% center crop."
