carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W29-004,W29-P013,M03,2026-W29-004_M03_candidate_A.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_candidate_B.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_candidate_C.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_v2_candidate_A.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_v2_candidate_B.png,Codex,5,4,5,5,4,5,5,5,5,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_v2_candidate_C.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_A.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Hero session lock; realistic M03 proportions, grounded planter contact, integrated urban light and anatomically plausible barrel jeans. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_B.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Controlled motion derivative preserves M03, waist, crotch, barrel volume, cropped blazer, walkway and lighting. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_C.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Detail derivative clearly preserves waistband, anatomical crotch, curved denim volume, tank, blazer and M03 identity. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_A_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,4,5,5,yes,canva_frame_approved,"Native 0.9185:1 full-body Hero derivative. Complete hair, blazer, anatomical barrel jeans, bag and loafers remain inside the safe composition; exact normalization requires only 0.05% center crop. Verified and saved in the assigned v3-B Canva frame on 2026-07-16."
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_B_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,5,5,5,yes,canva_frame_approved,"Native 2.0357:1 motion derivative. Complete hair, face, cropped blazer, waistband, barrel-denim rise, bag and both hand contacts remain visible; exact normalization requires only 0.03% center crop. Verified and saved in the assigned v3-B Canva frame on 2026-07-16."
2026-W29-004,W29-P013,M03,2026-W29-004_M03_photoreal_pilot_candidate_C_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,4,5,5,yes,canva_frame_approved,"Native 0.8741:1 outfit-detail derivative. Complete hair, blazer, tank, waistband, anatomical denim construction, bag and both hands remain visible; exact normalization requires only 0.09% center crop. Verified and saved in the assigned v3-B Canva frame on 2026-07-16."
