carousel_id,slot_id,slide_range,asset_type,purpose,recommended_file,status,notes
2026-W27-001,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W27-001_M01_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; canva_asset_id=MAHPAlYb4jU; selected_file=2026-W27-001_M01_candidate_A.png
2026-W27-001,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W27-001_M01_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; canva_asset_id=MAHPAq4vFbM; selected_file=2026-W27-001_M01_candidate_B.png"
2026-W27-001,detail_image,3,image,second lifestyle image or reused hero crop,2026-W27-001_M01_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; canva_asset_id=MAHPAvkBOYk; selected_file=2026-W27-001_M01_candidate_C.png"
2026-W27-002,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W27-002_M02_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W27-002_M02_candidate_A.png; drive_url=https://drive.google.com/file/d/11JUpHS6uapRmWAoRbUXGRdTfdaMosyM-/view?usp=drivesdk
2026-W27-002,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W27-002_M02_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W27-002_M02_candidate_B.png; drive_url=https://drive.google.com/file/d/1s3ULybbEzlFr44ICdw2fNKhjcDMMhk4T/view?usp=drivesdk"
2026-W27-002,detail_image,3,image,second lifestyle image or reused hero crop,2026-W27-002_M02_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W27-002_M02_candidate_C.png; drive_url=https://drive.google.com/file/d/1ncJm_2lyPKU0icSCeILA_nrwl_7cipxl/view?usp=drivesdk"
2026-W27-003,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W27-003_M03_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W27-003_M03_candidate_A.png; drive_url=https://drive.google.com/file/d/1uXcXAqHwnRsCL6yfqpNABH2nYBY6i1Bi/view?usp=drivesdk
2026-W27-003,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W27-003_M03_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W27-003_M03_candidate_B.png; drive_url=https://drive.google.com/file/d/1mwyJDbNd4kKzb41D3PtxFElho0VzDoco/view?usp=drivesdk"
2026-W27-003,detail_image,3,image,second lifestyle image or reused hero crop,2026-W27-003_M03_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W27-003_M03_candidate_C.png; drive_url=https://drive.google.com/file/d/1lR7lB8oDV55otC5Pj-PQb4O1ec4J7Ou2/view?usp=drivesdk"
2026-W27-004,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W27-004_M04_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W27-004_M04_candidate_A.png; drive_url=https://drive.google.com/file/d/1GL3TLtFEaLB3Lj2THPF_7so9BRvF_SnY/view?usp=drivesdk
2026-W27-004,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W27-004_M04_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W27-004_M04_candidate_B.png; drive_url=https://drive.google.com/file/d/1Wg_yHqcOrBTKkpXkx49lwlFpfSlPKDQE/view?usp=drivesdk"
2026-W27-004,detail_image,3,image,second lifestyle image or reused hero crop,2026-W27-004_M04_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W27-004_M04_candidate_C.png; drive_url=https://drive.google.com/file/d/1sFxzuFavLouDHfcUV7O7QGLIm2MAARHk/view?usp=drivesdk"
2026-W27-005,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W27-005_M05_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W27-005_M05_candidate_A.png; drive_url=https://drive.google.com/file/d/1oc8aN7DyS2srziXxvqDMEVEV6tsG_17f/view?usp=drivesdk
2026-W27-005,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W27-005_M05_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W27-005_M05_candidate_B.png; drive_url=https://drive.google.com/file/d/1PWl5HBa3iVr42oMzll14l5sEekR_N3Lo/view?usp=drivesdk"
2026-W27-005,detail_image,3,image,second lifestyle image or reused hero crop,2026-W27-005_M05_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W27-005_M05_candidate_C.png; drive_url=https://drive.google.com/file/d/19udGoikDxUleHD6PTQG57ee8R-GUeRol/view?usp=drivesdk"
