prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W27-P001,W27-P001_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W27-P001,W27-P001_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W27-P001,W27-P001_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W27-P001,W27-P001_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W27-P001,W27-P001_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W27-P002,W27-P002_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W27-P002,W27-P002_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W27-P002,W27-P002_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W27-P002,W27-P002_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W27-P002,W27-P002_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W27-P003,W27-P003_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W27-P003,W27-P003_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W27-P003,W27-P003_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W27-P003,W27-P003_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W27-P003,W27-P003_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W27-P004,W27-P004_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W27-P004,W27-P004_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W27-P004,W27-P004_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W27-P004,W27-P004_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W27-P004,W27-P004_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W27-P005,W27-P005_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W27-P005,W27-P005_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W27-P005,W27-P005_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W27-P005,W27-P005_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W27-P005,W27-P005_codex_variant_5.jpg,Codex,,,,,,pending,,review,
