prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W29-P001,W29-P001_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W29-P001,W29-P001_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W29-P001,W29-P001_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W29-P001,W29-P001_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W29-P001,W29-P001_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W29-P005,W29-P005_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W29-P005,W29-P005_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W29-P005,W29-P005_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W29-P005,W29-P005_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W29-P005,W29-P005_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W29-P009,W29-P009_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W29-P009,W29-P009_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W29-P009,W29-P009_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W29-P009,W29-P009_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W29-P009,W29-P009_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W29-P013,W29-P013_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W29-P013,W29-P013_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W29-P013,W29-P013_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W29-P013,W29-P013_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W29-P013,W29-P013_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W29-P017,W29-P017_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W29-P017,W29-P017_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W29-P017,W29-P017_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W29-P017,W29-P017_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W29-P017,W29-P017_codex_variant_5.jpg,Codex,,,,,,pending,,review,
