carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W29-005,W29-P017,M05,2026-W29-005_M05_candidate_A.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_candidate_B.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_candidate_C.png,Codex,,,,,,,,,,,,pending,review,Score after generation.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_v2_candidate_A.png,Codex,5,5,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_v2_candidate_B.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_v2_candidate_C.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-005,W29-P017,M05,2026-W29-005_M05_photoreal_pilot_candidate_A.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Refined Hero session lock; adult M05 micro-smile, natural proportions, grounded table and loafer contact, integrated office light. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-005,W29-P017,M05,2026-W29-005_M05_photoreal_pilot_candidate_B.png,Codex,5,5,5,5,5,5,5,5,5,1,5,no,needs_canva_crop_safe_derivative,"Motion derivative preserves adult office context, M05 identity, cardigan, tank, trousers, tote and scene lighting. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-005,W29-P017,M05,2026-W29-005_M05_photoreal_pilot_candidate_C.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Detail derivative preserves M05 and clearly shows knit, tank, linen waistband, pleats and tote construction. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-005,W29-P017,M05,2026-W29-005_M05_canva_A_1120x1050.png,Codex,5,5,5,5,5,5,5,5,5,5,5,yes,canva_frame_approved,"Exact v3-E cover frame; full hairstyle and shoes remain visible, natural proportions and integrated office lighting preserved. Verified and saved in Canva on 2026-07-17."
2026-W29-005,W29-P017,M05,2026-W29-005_M05_canva_B_1120x410.png,Codex,5,5,5,5,5,5,5,5,5,5,5,yes,canva_frame_approved,"Native ultra-wide v3-E motion frame; readable face and outfit gesture with coherent environmental continuity and no portrait hard crop. Verified and saved in Canva on 2026-07-17."
2026-W29-005,W29-P017,M05,2026-W29-005_M05_canva_C_1060x1010.png,Codex,5,5,5,5,5,5,5,5,5,5,5,yes,canva_frame_approved,"Exact v3-E detail frame; full hairstyle, neckline, cardigan, linen waist and tote remain inside the frame-safe composition. Verified and saved in Canva on 2026-07-17."
