carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W29-001,W29-P001,M01,2026-W29-001_M01_candidate_A.png,Codex,3,,5,5,4,5,5,4,4,,5,no,needs_proportion_review,User flagged an overly elongated fashion proportion versus the approved full-body anchor; blocked from Canva.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_candidate_B.png,Codex,3,,5,5,4,5,5,4,5,,5,no,needs_proportion_review,User flagged an overly elongated fashion proportion versus the approved full-body anchor; blocked from Canva.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_candidate_C.png,Codex,3,,5,5,4,5,5,4,4,,5,no,needs_proportion_review,User flagged an overly elongated fashion proportion versus the approved full-body anchor; blocked from Canva.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_v2_candidate_A.png,Codex,5,4,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_v2_candidate_B.png,Codex,5,4,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_v2_candidate_C.png,Codex,5,4,5,5,4,5,5,4,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_photoreal_pilot_candidate_A.png,Codex,5,4,5,5,4,5,5,4,4,1,5,no,needs_canva_crop_safe_derivative,Accepted refined Hero and session lock; grounded contact and shared scene lighting. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_photoreal_pilot_candidate_B.png,Codex,5,4,5,5,4,5,5,5,5,1,5,no,needs_canva_crop_safe_derivative,Motion edit preserves the accepted Hero outfit scene body build and lighting while changing gaze and pose. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_photoreal_pilot_candidate_C.png,Codex,5,4,5,5,4,5,5,4,4,1,5,no,needs_canva_crop_safe_derivative,Detail edit preserves identity garments scene and light while exposing mesh satin waistband and bag construction. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative.
2026-W29-001,W29-P001,M01,2026-W29-001_M01_photoreal_pilot_candidate_A_canva_safe_v1.png,Codex,5,4,5,5,5,5,5,4,4,5,5,yes,pilot_passed_frame_fit,"Near-square identity-preserving Hero derivative. Verified in the untouched v3-B left frame: full hairstyle, face, outfit, and floor contact remain visible. Pilot transaction was cancelled because the original C detail still needs its own crop-safe derivative."
