carousel_id,slot_id,slide_range,asset_type,purpose,recommended_file,status,notes
2026-W35-001,cover_image,1,image,strongest lifestyle full-body image; visual hook,,needed,Make the person and outfit dominant. Keep text off the image.
2026-W35-001,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,,needed,"Use a soft crop, blurred background, or clean negative space. Only one short sentence."
2026-W35-001,detail_image,3,image,second lifestyle image or reused hero crop,,needed,"Use a second image when available. If not, use a different crop of the hero image."
2026-W35-002,cover_image,1,image,strongest lifestyle full-body image; visual hook,,needed,Make the person and outfit dominant. Keep text off the image.
2026-W35-002,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,,needed,"Use a soft crop, blurred background, or clean negative space. Only one short sentence."
2026-W35-002,detail_image,3,image,second lifestyle image or reused hero crop,,needed,"Use a second image when available. If not, use a different crop of the hero image."
2026-W35-003,cover_image,1,image,strongest lifestyle full-body image; visual hook,,needed,Make the person and outfit dominant. Keep text off the image.
2026-W35-003,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,,needed,"Use a soft crop, blurred background, or clean negative space. Only one short sentence."
2026-W35-003,detail_image,3,image,second lifestyle image or reused hero crop,,needed,"Use a second image when available. If not, use a different crop of the hero image."
2026-W35-004,cover_image,1,image,strongest lifestyle full-body image; visual hook,,needed,Make the person and outfit dominant. Keep text off the image.
2026-W35-004,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,,needed,"Use a soft crop, blurred background, or clean negative space. Only one short sentence."
2026-W35-004,detail_image,3,image,second lifestyle image or reused hero crop,,needed,"Use a second image when available. If not, use a different crop of the hero image."
2026-W35-005,cover_image,1,image,strongest lifestyle full-body image; visual hook,,needed,Make the person and outfit dominant. Keep text off the image.
2026-W35-005,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,,needed,"Use a soft crop, blurred background, or clean negative space. Only one short sentence."
2026-W35-005,detail_image,3,image,second lifestyle image or reused hero crop,,needed,"Use a second image when available. If not, use a different crop of the hero image."
