carousel_id,slot_id,slide_range,asset_type,purpose,recommended_file,status,notes
2026-W30-001,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W30-001_M04_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W30-001_M04_candidate_A.png
2026-W30-001,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W30-001_M04_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W30-001_M04_candidate_B.png"
2026-W30-001,detail_image,3,image,second lifestyle image or reused hero crop,2026-W30-001_M04_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W30-001_M04_candidate_C.png"
2026-W30-002,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W30-002_M03_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W30-002_M03_candidate_A.png
2026-W30-002,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W30-002_M03_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W30-002_M03_candidate_B.png"
2026-W30-002,detail_image,3,image,second lifestyle image or reused hero crop,2026-W30-002_M03_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W30-002_M03_candidate_C.png"
2026-W30-003,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W30-003_M01_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W30-003_M01_candidate_A.png
2026-W30-003,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W30-003_M01_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W30-003_M01_candidate_B.png"
2026-W30-003,detail_image,3,image,second lifestyle image or reused hero crop,2026-W30-003_M01_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W30-003_M01_candidate_C.png"
2026-W30-004,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W30-004_M05_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W30-004_M05_candidate_A.png
2026-W30-004,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W30-004_M05_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W30-004_M05_candidate_B.png"
2026-W30-004,detail_image,3,image,second lifestyle image or reused hero crop,2026-W30-004_M05_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W30-004_M05_candidate_C.png"
2026-W30-005,cover_image,1,image,strongest lifestyle full-body image; visual hook,2026-W30-005_M02_candidate_A.png,selected,Make the person and outfit dominant. Keep text off the image.; selected_file=2026-W30-005_M02_candidate_A.png
2026-W30-005,motion_crop,2,crop / quiet design slide,minimal transition slide with one short line,2026-W30-005_M02_candidate_B.png,selected_from_crop,"Use a soft crop, blurred background, or clean negative space. Only one short sentence.; selected_file=2026-W30-005_M02_candidate_B.png"
2026-W30-005,detail_image,3,image,second lifestyle image or reused hero crop,2026-W30-005_M02_candidate_C.png,selected,"Use a second image when available. If not, use a different crop of the hero image.; selected_file=2026-W30-005_M02_candidate_C.png"
