prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W36-P001,W36-P001_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W36-P001,W36-P001_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W36-P001,W36-P001_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W36-P001,W36-P001_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W36-P001,W36-P001_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W36-P002,W36-P002_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W36-P002,W36-P002_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W36-P002,W36-P002_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W36-P002,W36-P002_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W36-P002,W36-P002_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W36-P003,W36-P003_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W36-P003,W36-P003_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W36-P003,W36-P003_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W36-P003,W36-P003_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W36-P003,W36-P003_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W36-P004,W36-P004_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W36-P004,W36-P004_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W36-P004,W36-P004_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W36-P004,W36-P004_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W36-P004,W36-P004_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W36-P005,W36-P005_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W36-P005,W36-P005_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W36-P005,W36-P005_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W36-P005,W36-P005_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W36-P005,W36-P005_codex_variant_5.jpg,Codex,,,,,,pending,,review,
